name	x_m	y_m	x_dec	y_dec	city	address	source	type	geocoding.precision.m	geocoding.source
Allan Hancock Foundation, University of Southern California	249871.11485053794	-431105.21379622025	-117.2914	34.1036	NA	NA	grbioorg	University	10	automatic
Alma College	-177206.62421115622	-91028.30269395886	-121.9989	37.1807	Alma	614 Superior Street.	grbioorg	NA	10	automatic
Anza-Borrego Desert State Park	332422.960699938	-521939.86997669516	-116.4343	33.2602	Borrego Springs	NA	grbioorg	NA	10	automatic
Armstrong State University	-124152.66954072019	61844.35950719798	-121.4265	38.5643	Savannah	11935 Abercorn St.	grbioorg	University	10	automatic
Blodgett Forest Research Station	-57409.774369791936	99559.09851720929	-120.6627	38.9102	Georgetown	4501 Blodgett Forest Rd	indexherbariorum	Herbarium	10	automatic
Bureau of Land Management Arcata Field Office	-344630.98798283975	327935.1684161313	-124.0895	40.9009	Arcata	1695 Heindon Rd	indexherbariorum	Herbarium	1000	JA
California Academy of Science, Indiana University Collection	-216912.92339284965	-24577.526303141378	-122.4661	37.7699	NA	NA	grbioorg	University	10	StS
California Academy of Sciences	-199824.2574194945	-20890.249006837606	-122.2729	37.8069	San Francisco	California Academy of Sciences 55 Music Concourse Drive	grbioorg	NA	10	automatic
California Academy of Sciences	-216913.2125201935	-24588.639216547832	-122.4661	37.7698	San Francisco	55 Music Concourse Drive	GBIF	NA	10	automatic
California Academy of Sciences Herbarium	-216913.2125201935	-24588.639216547832	-122.4661	37.7698	San Francisco	California Academy of Sciences 55 Music Concourse Drive	grbioorg	Herbarium	10	StS
California Academy of Sciences, Botany Department	-217317.4381218621	-24566.992126097903	-122.4707	37.7699	San Francisco	NA	indexherbariorum	Herbarium	1000	JA
California Academy of Sciences, Department of Botany	-217112.86564571908	-24483.358415544964	-122.4684	37.7707	San Francisco	NA	indexherbariorum	Herbarium	1000	JA
California Academy of Sciences, Dudley Herbarium	-211417.82131375972	-23373.131324465852	-122.404	37.782	San Francisco	875 Howard Street, San Francisco, California, 94103	grbioorg	Herbarium	10	automatic
California Academy of Sciences, Stanford University Collection	-191718.07037662144	-63268.001841679215	-122.1697	37.4275	NA	NA	grbioorg	University	10	MA
California Department of Fish and Game	224074.27408826092	-435399.735512177	-117.5721	34.0712	Terminal Island	NA	grbioorg	NA	1000	HF
California Department of Food and Agriculture	-128004.83952090319	52553.5707387072	-121.4691	38.4802	Sacramento	NA	grbioorg	NA	1000	AH
California Department of Food and Agriculture, Plant Pest Diagnostics Branch	-128020.57622439561	52662.76508636447	-121.4693	38.48118	Sacramento	NA	indexherbariorum	Herbarium	10	automatic
California Department of Food and Agriculture, Plant Pest Diagnostics Branch	-128020.57622439561	52662.76508636447	-121.4693	38.48118	Sacramento	NA	indexherbariorum	Herbarium	10	automatic
California Insect Survey	-198703.61619557027	-13733.619830228854	-122.2621	37.8715	Berkeley	NA	grbioorg	NA	1000	AH
California Polytechnic State University	-67457.2935435351	-315736.91198613774	-120.7412	35.1728	San Luis Obispo	352/359 Fisher Hall.	grbioorg	University	10	automatic
California Polytechnic State University, Biological Sciences Department	-60310.3041712768	-301097.30810386967	-120.6638	35.3051	San Luis Obispo	352/359 Fisher Hall	indexherbariorum	Herbarium	1000	CD
California Polytechnic State University, San Luis Obispo	-60250.20123821525	-301597.498725269	-120.6631	35.3006	NA	NA	grbioorg	University	10	automatic
California Polytechnic University	-67457.2935435351	-315736.91198613774	-120.7412	35.1728	NA	NA	grbioorg	University	10	automatic
California State Polytechnic University	201737.11766663875	-438451.0236819787	-117.8148	34.0486	Pomona	3801 West Temple Avenue.	grbioorg	University	10	automatic
California State Polytechnic University, Biological Sciences Department	201098.2948862303	-437578.06208958896	-117.8215	34.0566	Pomona	3801 West Temple Avenue	indexherbariorum	Herbarium	1000	CD
California State Polytechnic University, Pomona	201737.11766663875	-438451.0236819787	-117.8148	34.0486	NA	NA	grbioorg	University	10	automatic
California State University	135222.93252755902	-417984.6313822451	-118.5317	34.2446	Los Angeles	5151 State University Drive.	grbioorg	University	10	automatic
California State University	135222.93252755902	-417984.6313822451	-118.5317	34.2446	Fresno	NA	grbioorg	University	10	automatic
California State University	135222.93252755902	-417984.6313822451	-118.5317	34.2446	Hayward	NA	grbioorg	University	10	automatic
California State University	135222.93252755902	-417984.6313822451	-118.5317	34.2446	Long Beach	NA	grbioorg	University	10	automatic
California State University	135222.93252755902	-417984.6313822451	-118.5317	34.2446	Fullerton	800 North State College Boulevard.	grbioorg	University	10	automatic
California State University	135222.93252755902	-417984.6313822451	-118.5317	34.2446	Sacramento	NA	grbioorg	University	10	automatic
California State University	135222.93252755902	-417984.6313822451	-118.5317	34.2446	Northridge	NA	grbioorg	University	10	automatic
California State University	135222.93252755902	-417984.6313822451	-118.5317	34.2446	Turlock	NA	grbioorg	University	10	automatic
California State University at Long Beach	169575.5701226026	-437613.29210524587	-118.1629	34.0623	NA	NA	grbioorg	University	10	automatic
California State University Channel Islands	88192.35387639917	-427739.9347067741	-119.0434	34.1621	Camarillo	One University Drive	indexherbariorum	Herbarium	1000	RS
California State University, Biological Science Department	195325.222677786	-457401.7385399365	-117.8888	33.8791	Fullerton	800 North State College Boulevard	indexherbariorum	Herbarium	10	automatic
California State University, Biological Science Department	195621.47553176124	-457323.02776775137	-117.88558	33.87975	Fullerton	800 North State College Boulevard	indexherbariorum	Herbarium	10	automatic
California State University, Biological Sciences Department	-123907.88678949712	61334.85041296482	-121.4236	38.55975	Sacramento	NA	indexherbariorum	Herbarium	10	automatic
California State University, Biology Department	-75624.18691467945	-54329.37801471539	-120.85689	37.52457	Turlock	NA	indexherbariorum	Herbarium	10	automatic
California State University, Chico	-158279.5187557951	191704.62460756674	-121.8476	39.7273	Chico	NA	indexherbariorum	Herbarium	10	automatic
California State University, Chico	-158279.5187557951	191704.62460756674	-121.8476	39.7273	Chico	NA	grbioorg	University	10	automatic
California State University, Chico Vertebrate Museum	-158166.4340765136	191791.3234210438	-121.8463	39.7281	Chico	NA	GBIF	Museum	1000	RS
California State University, Chico, Vertebrate Museum	-158166.4340765136	191791.3234210438	-121.8463	39.7281	NA	NA	grbioorg	Museum	1000	NW
California State University, Department of Biological Sciences	168588.23087709743	-437643.465455133	-118.1736	34.0622	Los Angeles	5151 State University Drive	indexherbariorum	Herbarium	10	automatic
California State University, Department of Biological Sciences	169130.0104402191	-437251.3393748454	-118.16765	34.06564	Los Angeles	5151 State University Drive	indexherbariorum	Herbarium	10	automatic
California State University, Department of Biology	271365.0895809607	-570569.5753755393	-117.1047	32.8403	Northridge	NA	indexherbariorum	Herbarium	1000	CD
California State University, Fresno	19988.330064787475	-136078.09532884927	-119.7757	36.792	NA	NA	grbioorg	University	10	automatic
California State University, Long Beach	175069.4807908125	-468655.565796508	-118.1101	33.7815	NA	NA	grbioorg	University	10	automatic
California State University, Northridge	135222.93252755902	-417984.6313822451	-118.5317	34.2446	Northridge	NA	grbioorg	University	10	automatic
California State University, San Bernardino	248087.06126106714	-427759.98171986034	-117.3097	34.1342	San Bernardino	NA	grbioorg	University	10	automatic
California State University, San Bernardino, Biology Department	246643.58250793937	-422384.73125473224	-117.3237	34.183	San Bernardino	NA	indexherbariorum	Herbarium	1000	CD
California State University, Turlock	-75625.03929163532	-54326.03522955021	-120.8569	37.5246	NA	NA	grbioorg	University	1000	NW
Cameroon National Herbarium	27733.065921408594	-399436.1706984462	-119.6982	34.4208	Yaound	NA	GBIF	Herbarium	10	automatic
Carnegie Institution of Washington	-192502.0513186252	-63149.946957502514	-122.1786	37.4284	Stanford	NA	grbioorg	NA	1000	AH
Carnegie Institution of Washington, Plant Biology Department	-192503.86930071472	-63152.1290321718	-122.17862	37.42838	Stanford	NA	indexherbariorum	Herbarium	10	automatic
Catalina Island Conservancy	154486.39640878918	-519781.05408656225	-118.3419	33.3239	Avalon	1404 Avalon Canyon Rd	indexherbariorum	Herbarium	10	automatic
Catalina Island Conservancy	154486.39640878918	-519781.05408656225	-118.3419	33.3239	Avalon	1404 Avalon Canyon Rd	grbioorg	NA	10	automatic
Center for Plant Conservation (USA)	280304.1443344194	-542220.7912056982	-116.99982	33.09357	Escondido	NA	BCGI	Botanic_garden	10	automatic
Chaffey College	224146.2622148275	-426686.5714228996	-117.5689	34.1497	Alta Loma	NA	grbioorg	NA	10	automatic
Chaffey College, Biology Department	224021.17099481414	-426988.3062992133	-117.57034	34.14701	Alta Loma	NA	indexherbariorum	Herbarium	10	automatic
Cheadle Center for Biodiversity and Ecological Restoration	13361.347414129847	-399603.23163904576	-119.8546	34.4196	Santa Barbara	Harder South, Building 578, MS-9615	GBIF	NA	1000	RS
Citrus College, Biological Sciences Department	195032.06280145544	-428954.9507868043	-117.88511	34.13555	Glendora	NA	indexherbariorum	Herbarium	10	automatic
Clemson University	245521.366128248	-443857.0174471233	-117.3424	33.9898	Clemson	NA	grbioorg	University	10	automatic
College of the Redwoods, Mendocino Coast Campus	-327951.8523247675	162934.43554774811	-123.8131	39.4229	Fort Bragg	NA	grbioorg	NA	1000	HF
College of the Redwoods, Mendocino Coast Campus, Biological Sciences Department	-327826.485012886	162840.41978460178	-123.8116	39.4221	Fort Bragg	NA	indexherbariorum	Herbarium	1000	VZ
Consortium of Pacific Northwest Herbaria	-219646.26166764883	-39841.11740414146	-122.4926	37.632	Seattle	Herbarium, University of Washington PO Box 355325	GBIF	NA	10	automatic
Death Valley National Monument	261207.29699500385	-163931.27674103994	-117.0794	36.5054	NA	NA	grbioorg	NA	1000	NW
Death Valley National Park	261207.29699500385	-163931.27674103994	-117.0794	36.5054	Death Valley	Highway 190, Cow Creek Administrative Area.	grbioorg	NA	10	automatic
Death Valley National Park, Resources Management Division	261207.29699500385	-163931.27674103994	-117.0794	36.5054	Death Valley	Highway 190, Cow Creek Administrative Area	indexherbariorum	Herbarium	10	automatic
Death Valley National Park, Resources Management Division	261206.4371461388	-163932.41511796694	-117.07941	36.50539	Death Valley	Highway 190, Cow Creek Administrative Area	indexherbariorum	Herbarium	10	automatic
Department of Hydrobiology and Ichthyology, Sofia Univiversity	-186330.8291779675	-63078.24252189696	-122.1088	37.4303	NA	NA	grbioorg	NA	10	StS
Desert Studies Center	354636.5069820183	-312021.7341839876	-116.1038	35.143	NA	NA	grbioorg	NA	10	MA
Diablo Valley College	-181502.61469299745	-3040.3573021586053	-122.069	37.9712	Pleasant Hill	321 Golf Club Road.	grbioorg	NA	10	automatic
Diablo Valley College	-181502.61469299745	-3040.3573021586053	-122.069	37.9712	NA	NA	grbioorg	NA	10	automatic
Diablo Valley College Museum	-181709.93517627398	-3291.5742784705944	-122.0713	37.9689	NA	NA	grbioorg	Museum	10	StS
Diablo Valley College, Biology Department	-181710.6637228721	-3324.9163542864844	-122.0713	37.9686	Pleasant Hill	321 Golf Club Road	indexherbariorum	Herbarium	10	automatic
Diablo Valley College, Biology Department	-181708.93661717814	-3286.036431791261	-122.07129	37.96895	Pleasant Hill	321 Golf Club Road	indexherbariorum	Herbarium	10	automatic
Duke University	261538.03346131532	-435414.166182884	-117.1664	34.0617	Durham	Science Drive, West Campus.	grbioorg	University	10	automatic
Duke University	261538.03346131532	-435414.166182884	-117.1664	34.0617	Durham	NA	grbioorg	University	10	automatic
Elmira College	-116481.10333282026	62666.31615692936	-121.3385	38.5727	Elmira	NA	grbioorg	NA	10	automatic
Essig Museum of Entomology	-198703.61619557027	-13733.619830228854	-122.2621	37.8715	Berkeley	1170 Valley Life Science Building	grbioorg	Museum	10	automatic
Florida State University Coastal and Marine Laboratory	61008.12730482471	-185672.51533938386	-119.3194	36.344	St Teresa	501 E. St. Joseph	GBIF	University	10	automatic
Forest Service, Region 5, USDA	-198644.24425329902	10050.302366899326	-122.2679	38.0854	San Francisco	NA	grbioorg	NA	1000	HF
Fresno County Department of Agriculture	75192.75580975524	-139668.52678474085	-119.1566	36.7569	NA	NA	grbioorg	NA	10	automatic
Golden West College	-121102.54084627781	60898.54403009731	-121.3913	38.5562	Huntington Beach	NA	grbioorg	NA	10	automatic
Golden West College, Biology/Life Sciences Department	185345.43472426757	-473480.2957896725	-118.0003	33.7361	Huntington Beach	NA	indexherbariorum	Herbarium	1000	VZ
Granite Mountains Desert Research Center	397209.0887205211	-350388.9424409806	-115.656	34.7811	NA	NA	indexherbariorum	Herbarium	1000	JA
Harry D Thiers Herbarium - San Francisco State University	-218080.44865591833	-29517.916501423344	-122.4779	37.7252	San Francisco	Harry D. Thiers Herbarium Department of Biology - San Francisco State University 1600 Holloway Avenue	grbioorg	Herbarium	1000	HF
Hopkins Marine Station, Stanford University, Biological Sciences Department	-170063.48428667514	-153481.6824114686	-121.9042	36.62026	Pacific Grove	NA	indexherbariorum	Herbarium	10	automatic
Hopland Research  Extension Center	-266707.9805853892	113776.26077531278	-123.083	39.0009	NA	NA	indexherbariorum	Herbarium	1000	RS
Humboldt State University	-343767.799594775	325053.61559067667	-124.0778	40.8753	NA	NA	grbioorg	University	10	StS
Humboldt State University Herbarium	-343880.02040322864	325191.77632784564	-124.0792	40.8765	Arcata	Humboldt State University, Biological Sciences Department Herbarium	grbioorg	Herbarium	1000	HF
Humboldt State University Wildlife Museum	-343767.799594775	325053.61559067667	-124.0778	40.8753	Arcata	NA	grbioorg	Museum	10	StS
Humboldt State University, Biological Sciences Department	-344354.5005293105	325345.54831436276	-124.0849	40.8777	Arcata	NA	indexherbariorum	Herbarium	1000	JA
Huntington Botanical Gardens	173895.46131556187	-430127.74788500555	-118.1145	34.129	San Marino	NA	indexherbariorum	Herbarium	10	automatic
Huntington Botanical Gardens	173895.46131556187	-430127.74788500555	-118.1145	34.129	San Marino	NA	grbioorg	NA	10	automatic
Huntington Botanical Gardens	173888.00456300608	-430216.664116194	-118.1146	34.1282	San Marino	NA	BCGI	Botanic_garden	10	automatic
Huntington Botanical Gardens	173893.5066980655	-430122.2387647177	-118.11452	34.12905	San Marino	NA	BCGI	Botanic_garden	10	automatic
Huntington Botanical Gardens - Seed Bank	173893.5066980655	-430122.2387647177	-118.11452	34.12905	San Marino	NA	BCGI	Botanic_garden	10	automatic
Institute of Forest Genetics, Pacific Southwest Research Station, USDA Forest Service	-64433.05777239622	80643.76818279317	-120.74206	38.73956	Placerville	NA	indexherbariorum	Herbarium	10	automatic
International Fossil Shell Museum	257277.84403333557	-568251.7560829693	-117.2542	32.865	Utrecht	Kievitdwarsstraat 17	GBIF	Museum	10	automatic
Jasper Ridge Biological Preserve, Stanford University	-198323.38528229183	-65604.96283899853	-122.2438	37.4051	Woodside	NA	indexherbariorum	Herbarium	1000	RS
John Muir National Historic Site	-186888.18186617416	-585.9738482241519	-122.131	37.9922	Martinez	NA	indexherbariorum	Herbarium	10	automatic
Joshua Tree National Monument	379174.17503293307	-452010.7715410916	-115.901	33.8734	NA	NA	grbioorg	NA	1000	NW
Joshua Tree National Park	379174.17503293307	-452010.7715410916	-115.901	33.8734	Twentynine Palms	Joshua Tree National Park HeadquartersNatural Resources Building74485 National Park Drive	grbioorg	NA	10	automatic
Klamath National Forest	-256258.6320265453	433978.80315581243	-123.0826	41.8862	Yreka	NA	grbioorg	NA	10	automatic
Klamath National Forest, Resources Department	-220411.28269684495	412975.69499523845	-122.64458	41.70664	Yreka	NA	indexherbariorum	Herbarium	10	automatic
La Sierra University, Biology Department	231036.8365578952	-452938.917815479	-117.5017	33.9115	Riverside	NA	indexherbariorum	Herbarium	1000	JA
La Sierra University, Herpetological Collection	231660.980805518	-453099.9649637239	-117.495	33.9099	NA	NA	grbioorg	University	10	automatic
Lake Forest College	-121578.10515420046	60527.55563292699	-121.3967	38.5528	Lake Forest	555 North Sheridan Road	indexherbariorum	Herbarium	10	automatic
Lake Forest College	-121578.10515420046	60527.55563292699	-121.3967	38.5528	Lake Forest	555 North Sheridan Road	grbioorg	NA	10	automatic
Lassen Volcanic National Park	-120428.88167383075	276638.65885264706	-121.4207	40.4977	Mineral	NA	grbioorg	NA	10	automatic
Lassen Volcanic National Park	-120428.88167383075	276638.65885264706	-121.4207	40.4977	NA	NA	grbioorg	NA	10	automatic
Los Angeles County Arboretum and Botanic Garden	179726.07738253917	-428253.2968118186	-118.05088	34.14483	Arcadia	NA	BCGI	Botanic_garden	10	automatic
Los Angeles Valley College	145627.18428401012	-425462.6372925346	-118.4201	34.1757	Van Nuys	NA	grbioorg	NA	1000	AH
Los Angeles Valley College, Life Sciences Department	145623.47914134077	-425461.5894509149	-118.42014	34.17571	Van Nuys	NA	indexherbariorum	Herbarium	10	automatic
Meadowlark Botanical Gardens	173833.5156542497	-429796.09943160415	-118.1151	34.132	Vienna	NA	BCGI	Botanic_garden	10	automatic
Mildred E Mathias Botanical Garden	143117.77091438198	-437753.1804628009	-118.4495	34.0653	Los Angeles	NA	BCGI	Botanic_garden	10	automatic
Mildred E Mathias Botanical Garden	143887.96810103007	-437711.70382435806	-118.44115	34.06556	Los Angeles	NA	BCGI	Botanic_garden	10	automatic
Mills College	-192921.00737740422	-23199.00993721932	-122.1938	37.7876	Oakland	5000 MacArthur Boulevard.	grbioorg	NA	1000	AH
Mills College, Biology Department	-192414.8276989218	-23755.571638696827	-122.1879	37.7827	Oakland	5000 MacArthur Boulevard	indexherbariorum	Herbarium	1000	CD
Milton College	-213789.82723531278	-28728.232046923134	-122.4294	37.7333	Milton	NA	grbioorg	NA	10	automatic
Monterey Peninsula College, Life Science Museum	-168344.58078247396	-156890.90459270962	-121.8842	36.5899	NA	NA	grbioorg	Museum	1000	NW
Moore Laboratory of Zoology	165065.72540073094	-430543.01836962067	-118.2103	34.1268	Los Angeles	1600 Campus Road	GBIF	Zoo	10	automatic
Moore Laboratory of Zoology, Occidental College	165094.43859585127	-430597.9549841485	-118.21	34.1263	NA	NA	grbioorg	Zoo	10	TA
Muse Zoologique de la Ville de Strasbourg	27733.065921408594	-399436.1706984462	-119.6982	34.4208	Strasbourg	NA	GBIF	Zoo	10	automatic
Museum of Vertebrate Zoology	-198712.6637889368	-13744.523770119995	-122.26220000000001	37.8714	Berkeley	3101 Valley Life Sciences Building, University of California	GBIF	Museum	1000	RS
Museum of Vertebrate Zoology, University of California Berkeley	-197160.3134589534	-12758.40374165913	-122.2448	37.8806	Berkeley	3101 Valley Life Sciences Building University of California	grbioorg	Museum	10	automatic
National Park Service	40599.259850697075	-16939.094343008474	-119.5379	37.8631	Yosemite National Park	NA	grbioorg	NA	1000	TA
Natural History Museum of Los Angeles County	158055.26441519646	-442843.6909101559	-118.2887	34.0171	Los Angeles	900 Exposition Boulevard	grbioorg	Museum	10	automatic
